Spp,H.150,H.200,H.250,H.300,H.350,H.400,H.450,H.500,H.550,H.600,R.150,R.200,R.250,R.300,R.350,R.400,T.150,T.200,T.250,T.300,T.350,T.400,T.450,T.500
adicun,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,
adiful,,,,,,1,,,,,,1,1,1,1,1,,,,,,,,
adihis,1,,,,,,,,,,1,,,,,,1,1,,,,,,
artten,1,,,,,,,,,,1,1,1,1,,,,,,,,,,
aspbul,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
aspfla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
aspobl,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
aspol,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
blenov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,
blecha,1,1,,,,,,,,,1,1,1,1,1,,,,,,,,,
bledis,,,1,1,1,1,,,,,,,,,,,,,1,,,,,
blefil,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
blefra,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,
blepro,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
ctehet,,,,,,1,1,1,,,,,,,,,,,,,1,,,
cyadea,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,,,
cyamed,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,
cyasmi,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1
dicsqu,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1
diclan,,,1,1,1,1,1,,,,,,,,,,,,,,,,,
doomed,1,,,,,,,,,,1,1,1,,,,1,,,,,,,
gledic,,,,,1,,,,,,,,,,,,,,,,,,,
glemic,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
grabil,,,,,,,,,1,1,1,,,,,,,,,,,,,
hymdem,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
hymdil,1,,,,,,,,,,,,,,,1,,,,,,,1,1
hymmul,,,,,,,,1,1,1,,,,,,,,,,,1,,,
hymrar,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
hymsan,,,,,,,,,,,,,,,,1,,,,,,1,1,
lashis,1,,,,,,,,,,,,,1,1,,,,,,,,1,
linlin,1,1,,,,,,,,,,,,,,,,,,,,,,
lintri,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
loxcun,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
lyccer,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
lycdeu,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,
lycvar,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,
lycvol,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1
lygart,1,1,1,1,1,,,,,,,,,,,1,,,,,,,,
paesca,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phypus,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
physca,1,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,
pnepen,1,1,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,
polric,,,,,,,,,,,1,1,1,1,1,,,,,,,,,
pteaqu,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,,
ptecom,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,1,1,
ptemac,1,,,,,,,,,,1,1,1,1,,,,,,,,,,
pyrser,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
rumadi,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,1,
sticun,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,
stifla,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
tmetan,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,
trielo,,,1,1,,,,,,,,,,,,,,,,,,,,
triren,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,,
tristr,,,,,,,,,1,1,,,,,,,,,,,,,,
