SPP,H.150,H.200,H.250,H.300,H.350,H.400,H.450,H.500,H.550,H.600,R.150,R.200,R.250,R.300,R.350,R.400,T.150,T.200,T.250,T.300,T.350,T.400,T.450,T.500
agaaus,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
aleexc,,,,,,,,,,,1,,,,,,,,1,,,,,
alsmac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
alspus,,,,,,,,,,,,1,,,,,,1,,,,,,
arisser,,,,,,,,,,,,,,,,,,,,,1,,,
arcrac,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,
ascluc,,,,,1,1,,,,,,,,,,,,,,,,,,
beiroa,1,,,,,,,,,,1,1,1,1,1,,1,1,,,,,,
beitar,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,
beitaw,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
brarep,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
carali,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,
carser,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
clepan,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1
clepar,,,,,,,,,,,,,,1,1,,,,,,,,,
copdod,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
coparb,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,
copgra,1,1,1,1,1,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,1
copluc,1,1,,,,,,,,,1,1,1,,,,1,1,1,1,1,,,
copmac,1,,,,,,,,,,1,1,1,,,,1,1,,,,,,
coprha,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
copspa,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
coprob,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,
corarb,1,1,,,,,,,,,,1,,,,,1,,,,,,,
coraus,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
corban,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,
corlae,1,,,,,,,,,,1,1,,,,,1,1,,,,,,
corpum,1,1,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,
corbud,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,
cyajun,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,
daccup,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dacdac,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,
dralat,,,,1,,,,,,,,,,,,,,,,,1,,,
drapat,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,
drasin,,,,,,,,1,,,,,,,,,,,,,,,,
dysspe,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,
eladen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
entarb,,,,,,,,,,,1,,,,,,1,,,,,,,
fucexc,,,,,,,,,,,,1,,,,,,,,,,,1,
epapau,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,
frebau,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1
gauant,,,,,,1,,,,,,,,,,,,,,,,,,
genrup,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
griluc,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,1,1,1,1,1,1
halkir,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
hebmac,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,
hebstr,1,1,1,1,1,,,,,,1,1,1,1,,,1,1,1,1,1,1,1,
hedarb,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1
hellan,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,
hohpop,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,
ixebre,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
kniexc,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kunrob,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kunsin,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
launov,,,1,,,,,,,,,,,,,,,,,1,,,,
lepint,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
lepsco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
leufas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
lopbul,,,,,,,,,,,,,,1,1,1,,,,,,,,
macexc,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,
melram,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
melter,,,,,,,,,,,1,1,,,,,1,1,,,,,,
metalb,,,,,,,1,1,1,1,,,,,,,,,,,,,,
metdif,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1
metexc,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,
metful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
metpar,,,,,,,1,1,1,1,,,,,,,,,,,,,,
metper,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1
metrob,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1
metumb,,,,,,,,1,1,1,,,,,,,,,,,,,,
myraus,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,
myrsal,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
nesape,,,,,,,,,,,,,,,,,1,,,,,,,
nescun,1,,,,,,,,,,1,,,,,,,,,,,,,
neslan,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,,,
nesmon,,1,,,,,,,,,,,,,,,,,,,,,,
oleall,,,,1,1,1,,,,,,,,,,,,,,,,,,
olefur,1,1,1,1,1,1,,,,,1,1,1,,,,1,1,1,1,1,,,
oleran,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,1,1,,,
parhet,,,,,,,,,,,1,,,,,,,,,,,1,1,
pertor,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
phenud,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
phygla,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
phytri,1,1,1,,,,,,,,,,,,,,,,,,,,,
pitcor,,,,,,,,,,,,,1,,,,1,1,1,,,,,
pitten,,,,,,,,,,,,,,1,,,1,1,1,,,,,
pitumb,,,,,,,,,,,1,1,1,,,,,,,,,,,
piteug,,,,,,,,,,,,,,,,,1,1,,,,,,
pitkir,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,
podhal_tot,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1
pomkum,,,,,1,1,,,,,,,,,,,1,,,,,,,
prufer,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,,
psearb,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pseaxi,,,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,
psecra,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
psedis,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,
pseedg,,,,,,,,,,,,,,,,,,,,,,1,1,1
pseles,1,,,,,,,,,,1,1,1,1,,,1,1,,,,,,
